UE,UX,BSAT,BSUC
0.05000000000000002,0.6527051148352307,0.577271080333071,0.20777637029862486
0.11897018984817387,0.9390103262536259,0.06302831080092959,0.13311027054307142
0.9247164707827024,0.22064657511966076,0.27259828550900245,0.5001
0.95,0.5523863082179389,0.43896344699031603,0.43347765585417825
0.9594002160936255,0.9590957148980109,0.9685496394422405,0.9356414598654182
0.8881530452442641,0.9390103262536259,0.650937283352433,0.9175175706699933
0.11897018984817387,0.07420613045843476,0.577271080333071,0.03871234133773146
0.470589599679321,0.07420613045843476,0.18660549686337077,0.03871234133773146
0.0399255602039456,0.060989673746374214,0.3238554205453939,0.1051366430173782
0.6330366819574025,0.9257938695415653,0.5001,0.6906220004145697
0.07774921432672863,0.04090428510198909,0.07916845804317628,0.43347765585417825
0.8369625548483507,0.5523863082179389,0.9685496394422405,0.9356414598654182
0.8645850630004198,0.95,0.5001,0.30937799958543033
0.9594002160936255,0.6036349840062659,0.650937283352433,0.8668897294569285
0.9080554031575289,0.9257938695415653,0.9575401384047814,0.9612876586622685
0.11897018984817387,0.8133945031366293,0.577271080333071,0.16713668017857597
0.9594002160936255,0.9099879468822573,0.8663986840849772,0.7922236297013752
0.14595776020489165,0.2589207863847806,0.5001,0.0824824293300067
0.9247164707827024,0.22064657511966076,0.03955103840507291,0.30937799958543033
0.3048213672565016,0.3012677368748649,0.22673329946433823,0.03871234133773146
0.8049764719771171,0.3963650159937342,0.9685496394422405,0.9356414598654182
0.14595776020489165,0.07420613045843476,0.09900501069711708,0.05000000000000002
0.9670943651577941,0.8133945031366293,0.9429038485149122,0.6906220004145697
0.7274017144909976,0.8432401213288784,0.43896344699031603,0.8668897294569285
0.06245117056234163,0.07420613045843476,0.18660549686337077,0.20777637029862486
0.7684511716340783,0.04090428510198909,0.37971929814130595,0.9612876586622685
0.35689008625740204,0.5523863082179389,0.37971929814130595,0.0824824293300067
0.6820856151060869,0.10878902775125586,0.27259828550900245,0.7447309800546045
0.3048213672565016,0.2589207863847806,0.8260524167327262,0.9175175706699933
0.25730983068931557,0.2589207863847806,0.7180364513275516,0.0643585401345818
0.21491436562643257,0.15675987867112154,0.22673329946433823,0.5665223441458217
0.8881530452442641,0.5523863082179389,0.9236247197531465,0.8948633569826218
0.5810681734584591,0.3472948851647691,0.12314713802987559,0.16713668017857597
0.11897018984817387,0.7410792136152194,0.43896344699031603,0.8668897294569285
0.11897018984817387,0.95,0.9429038485149122,0.8948633569826218
0.17783159064496304,0.5001,0.7180364513275516,0.7447309800546045
0.8369625548483507,0.6527051148352307,0.577271080333071,0.95
0.21491436562643257,0.3472948851647691,0.7180364513275516,0.7922236297013752
0.05000000000000002,0.04090428510198909,0.05000000000000002,0.0824824293300067
0.3048213672565016,0.22064657511966076,0.9236247197531465,0.7922236297013752
0.5272363366102109,0.3963650159937342,0.7766627713944556,0.43347765585417825
0.8881530452442641,0.2589207863847806,0.8260524167327262,0.25526901994539547
0.6820856151060869,0.3472948851647691,0.18660549686337077,0.13311027054307142
0.17783159064496304,0.3472948851647691,0.577271080333071,0.9356414598654182
0.6330366819574025,0.6527051148352307,0.27259828550900245,0.30937799958543033
0.8049764719771171,0.95,0.8985362911990543,0.7922236297013752
0.3048213672565016,0.04090428510198909,0.05000000000000002,0.03871234133773146
0.41257448944264624,0.6987322631251351,0.650937283352433,0.7922236297013752
0.7684511716340783,0.3472948851647691,0.43896344699031603,0.05000000000000002
0.6820856151060869,0.18660549686337077,0.3238554205453939,0.13311027054307142
0.7274017144909976,0.3012677368748649,0.9575401384047814,0.9175175706699933
0.5810681734584591,0.5523863082179389,0.9429038485149122,0.16713668017857597
0.470589599679321,0.3963650159937342,0.8985362911990543,0.8948633569826218
0.6330366819574025,0.07420613045843476,0.05000000000000002,0.5665223441458217
0.7684511716340783,0.7410792136152194,0.577271080333071,0.5665223441458217
0.07774921432672863,0.15675987867112154,0.1521819242132057,0.25526901994539547
0.8049764719771171,0.07420613045843476,0.09900501069711708,0.13311027054307142
0.11897018984817387,0.3472948851647691,0.07916845804317628,0.30937799958543033
0.7684511716340783,0.3472948851647691,0.577271080333071,0.6307306397379421
0.9385626923969377,0.44761369178206123,0.9236247197531465,0.6307306397379421
0.3048213672565016,0.8133945031366293,0.7180364513275516,0.13311027054307142
0.5272363366102109,0.7793534248803393,0.7180364513275516,0.0643585401345818
0.05000000000000002,0.44761369178206123,0.9575401384047814,0.9612876586622685
